date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,15:40:07,3147785484,52463091,15170267,252837,15170268,0,15170272,193,1006,14928892,25,1006,193.03,79.48,189.00,242.00,312.00,369.00,448.00,661.00,1000
2018-07-31,15:41:07,3146803288,53335648,15165379,257040,15165375,0,15165368,180,1440,14895556,24,1440,180.71,82.72,176.00,229.00,293.00,365.00,448.00,793.00,1000
2018-07-31,15:42:07,3144946113,52415768,15156429,252607,15156431,0,15156433,182,1509,14901454,25,1509,182.97,81.47,179.00,232.00,300.00,351.00,425.00,702.00,1000
2018-07-31,15:43:07,3148385370,52473089,15172762,252879,15172760,0,15172758,174,902,14903994,23,902,174.82,74.77,171.00,224.00,281.00,325.00,413.00,645.00,1000
2018-07-31,15:44:07,3146213115,52436885,15162059,252700,15162060,0,15162062,177,1447,14892039,25,1447,177.80,83.08,173.00,226.00,291.00,358.00,436.00,838.00,1000
2018-07-31,15:45:07,3144913967,52415232,15156340,252605,15156341,0,15156344,183,1120,14911201,24,1120,183.67,78.45,180.00,233.00,298.00,351.00,430.00,678.00,1000
2018-07-31,15:46:07,3146417182,53329104,15163552,257009,15163552,0,15163552,184,1529,14873074,25,1529,184.11,86.42,179.00,232.00,299.00,367.00,451.00,1079.00,1000
2018-07-31,15:47:07,3149108385,52485139,15176341,252939,15176342,0,15176342,185,1492,14889208,26,1492,185.06,83.98,180.00,234.00,304.00,363.00,444.00,770.00,1000
2018-07-31,15:48:07,3144680332,52411338,15154987,252583,15154984,0,15154979,181,881,14892317,24,881,181.45,75.61,178.00,231.00,295.00,339.00,415.00,615.00,1000
2018-07-31,15:49:07,3148393444,53362600,15172797,257166,15172797,0,15172797,184,1527,14922964,24,1527,184.06,81.77,179.00,233.00,296.00,359.00,443.00,705.00,1000
2018-07-31,15:50:07,3145219403,52420323,15157294,252621,15157294,0,15157294,181,835,14914622,25,835,181.74,77.40,178.00,231.00,297.00,358.00,434.00,634.00,1000
2018-07-31,15:51:07,3144972786,52416213,15156317,252605,15156317,0,15156317,177,983,14890532,24,983,177.00,74.90,174.00,227.00,286.00,332.00,411.00,622.00,1000
2018-07-31,15:52:07,3150624533,53400415,15183574,257348,15183574,0,15183574,183,896,14939076,24,786,182.79,77.65,179.00,232.00,303.00,351.00,427.00,623.00,1000
